region,product_category,price,discount,rating,marketing_score,seasonality_index,competitor_price,store_count,customer_satisfaction,delivery_time_days,online_ad_spend,units_sold,cost_price,revenue,profit,profit_margin,social_media_mentions,weather_impact_score
Saudi Arabia,Shoes,189.65,0.46,7.171150595,38.06,1.24,,50,,10.5,6328.07,305,127.23,57843.15,19037.18,0.3291,1455,
Kuwait,Shoes,73.69,0.16,3.32,80.72,1.19,67.96,15,94.56,3,38966.7,397,50.29,29253.76,9288.38,0.3175,,0.062488146
UAE,Shoes,78.08,0.22,,25.53,1,76.71,37,75.93,1.6,10613.2,427,47.38,33341.38,13109.58,0.3932,2073,
Oman,Shoes,154.54,0.03,4.49,41.06,1.29,167.32,64,72.8,11.3,11525.38,325,89.08,50223.99,21271.39,0.4235,,
Oman,Accessories,49.15,0.19,3.32,24.35,1.09,37.85,67,78.3,,36710.7,552,36.46,27128.24,7001.39,0.2581,,
Oman,Shoes,95.12,0.19,3.86,63.92,0.94,90.81,48,93.32,10.5,43889.43,350,57.86,33291.71,13040.01,0.3917,,
Oman,Apparel,47.58,0.02,4.19,28.58,0.83,56.15,56,89.01,12.9,43957.44,384,32.02,18268.8,5973.3,0.327,,
Bahrain,Apparel,106.57,0.31,3.54,72.54,1.08,123.92,48,87.9,11.2,23492.06,457,64.36,48702.31,19290.76,0.3961,,0.753804998
Qatar,Accessories,22.25,0.42,3.31,64.56,1.18,24.9,62,93.63,2.7,28269.53,774,15.77,17221.14,5017.59,0.2914,5637,
Bahrain,Accessories,27.54,0.48,4.19,94.57,1.02,,40,80.86,7.6,7687.74,715,21.68,19694.23,4196.03,0.2131,6566,0.489468471
UAE,Shoes,76.51,0.03,,22.83,0.94,67.62,33,,6.5,1612.5,412,49.43,31523.49,11159.25,0.354,,
Kuwait,Shoes,134.05,0.31,3.63,74.52,1.27,124.7,38,62.12,11.8,4840.61,386,92.77,51743.07,15935.68,0.308,,
Bahrain,Shoes,194.33,0.28,4.33,56.18,1.22,163.45,27,,9.8,13172.56,287,127.74,55772.52,19112.34,0.3427,,0.501174331
Bahrain,Apparel,28.19,0.03,4.15,75.03,1.04,29.65,59,96.11,7.9,43208.24,564,19.35,15898.74,4982.65,0.3134,4591,0.162994684
Kuwait,Shoes,109.94,0.11,4.55,92.23,1.03,90.33,57,81.27,6.3,44953.76,410,63.87,45074.53,18885.88,0.419,4849,0.749395609
Oman,Accessories,54.92,0.26,4.97,33.81,0.8,65.09,27,73.2,5.1,36872.27,523,42.59,28721.77,6445.99,0.2244,3798,
Oman,Apparel,83.64,0.31,3.58,91.01,1.22,,38,,9.4,14917.06,514,55.07,42991.87,14684.97,0.3416,,
Bahrain,Accessories,9.51,0.25,4.56,59.57,0.89,11.12,13,98,,47707.22,526,7.02,5000.33,1306.27,0.2612,,0.301647371
Kuwait,Accessories,56.38,0.49,3.36,29.55,0.89,43.07,18,67.01,3.7,33684.67,480,42.96,27063.21,6440.04,0.238,2344,
Oman,Apparel,33.53,0.14,4.26,66.36,1.03,,63,91.73,3.2,28122.57,566,20.92,18976.88,7136.33,0.3761,,
Bahrain,Apparel,38.92,0.05,3.13,73.48,1.17,,54,92.79,13.7,13169.16,477,26.06,18562.48,6134.19,0.3305,6911,
Oman,Apparel,54.8,0.29,3.8,29.33,0.77,56.7,13,91.16,2.8,15395.32,347,36.46,19013.95,6361.56,0.3346,,
UAE,Apparel,58.5,0.32,4.64,45.71,0.8,51.84,34,93.42,3.4,30166.63,515,40.42,30129.76,9313.58,0.3091,,
Kuwait,Accessories,73.7,0.14,3.83,70.83,0.79,69.15,20,63.08,8.8,26660.52,487,61.29,35894.21,6047.35,0.1685,2599,
Oman,Shoes,238.22,0.48,3.64,42.55,1.26,293.08,62,88.48,12.7,15074.74,367,162.76,87425.97,27693.12,0.3168,,0.674552658
Oman,Accessories,13.91,0.06,3.9,95.17,1.06,15.18,62,71.9,8.2,8202.3,635,10.44,8830.25,2203.46,0.2495,,0.126219069
Qatar,Shoes,173.23,0.45,3.23,63.77,1.28,141.98,36,70.94,1.6,5540.56,449,117.16,77778.64,25173.26,0.3237,8058,0.909605828
UAE,Apparel,29.24,0.45,3.94,54.72,0.88,24.27,16,95.28,1.6,43843.12,590,20.42,17253.71,5207.67,0.3018,4884,
UAE,Shoes,152.44,0.23,3.32,95.86,1.09,130.71,51,74.94,9.9,49851.8,389,89.79,59300.92,24374.23,0.411,,
Saudi Arabia,Shoes,205.01,0.13,3.56,76.42,1.27,231.79,21,88.23,,34869.73,215,138.51,44076.77,14296.75,0.3244,7746,0.7362048
Oman,Accessories,44.37,0,,59.49,0.93,36.27,19,92.75,12.8,36005.11,454,34.14,20144.7,4643.75,0.2305,6440,
Qatar,Apparel,79.24,0.14,4.11,20.34,1.03,75.4,28,69.98,2.7,49701.79,431,55.75,34153.92,10124.96,0.2965,1140,0.725597745
Kuwait,Accessories,10.53,0.4,3.62,83.73,1.25,11.76,57,90.77,12.2,13543.03,744,7.9,7834.78,1956.14,0.2497,,
Bahrain,Apparel,96.86,0.3,3.08,60.54,1.19,81.95,66,97.41,8.5,21012.83,497,70.86,48137.4,12922.41,0.2684,,
UAE,Shoes,209.46,0.16,4.84,79.63,0.97,250.84,15,70.88,6.6,42983.57,304,133.12,63675.18,23205.58,0.3644,,
Oman,Shoes,150.25,0.1,4.01,30.48,1.22,144.62,5,83.64,6.8,36093.83,164,87.03,24641.7,10368.33,0.4208,,0.68104698
UAE,Shoes,243.16,0.37,3.46,76.86,0.71,285.23,34,99.26,7,23435.86,288,149.7,70028.94,26916.06,0.3844,,0.896500689
Bahrain,Accessories,80.67,0.2,4.16,64.28,0.82,62.99,68,60.58,2.2,4726.75,548,66.5,44208.14,7763.49,0.1756,,
Saudi Arabia,Accessories,89.45,0.44,,51.06,1.29,101.61,45,85.15,5.7,6703.43,661,69.59,59124.42,13125.21,0.222,,0.433119588
